Ticker,Buy Date,Buy Price,Sell Date,Sell Price,Profit,Profit %,Duration,Ticker Cum Profit,Ticker Cum Profit %,Profitable,Trade Number,RSI,Upper BB,Lower BB,Vol
A,2023-08-17,122.0,2023-11-22,123.87000274658203,1.8700027465820312,1.5327891365426485,97,-2.769989013671875,-2.1615209875931694,Yes,2,22.73237124362157,130.22737353373645,120.70642926167369,2.3802360680156913
A,2023-04-26,128.14999389648438,2023-07-20,123.51000213623047,-4.639991760253906,-3.6207506681599604,85,-4.639991760253906,-3.6207506681599604,No,1,37.579230203097396,141.88609289292674,131.34710260267872,2.634747572562012
AAL,2024-01-04,13.010000228881836,2024-01-26,15.550000190734863,2.5399999618530273,19.523442868312166,22,-0.3099985122680664,-2.357403203504532,Yes,3,26.240520549015415,14.798537716967186,13.05746213425962,0.4352688956768913
AAL,2023-07-26,16.719999313354492,2023-11-15,12.350000381469727,-4.369998931884766,-26.136358321464687,112,-2.8499984741210938,-21.672992827353614,No,2,26.012081353345366,19.256601377503152,16.631398538573507,0.656300709732412
AAL,2023-04-13,13.149999618530273,2023-05-10,14.670000076293945,1.5200004577636719,11.558939177623769,27,1.5200004577636719,11.558939177623769,Yes,1,23.634575182489172,14.88831883774863,13.110681043995756,0.4444094484382186
AAPL,2023-10-27,166.91000366210938,2023-11-13,185.82000732421875,18.910003662109375,11.329460935361645,17,26.270004272460938,14.423765205169675,Yes,2,24.653170791253615,182.1676074972897,167.09100914089387,3.7691495890989555
AAPL,2023-08-07,182.1300048828125,2023-09-01,189.49000549316406,7.3600006103515625,4.041069792474442,25,7.3600006103515625,4.041069792474442,Yes,1,12.821192541309884,199.74400779173618,182.10207069947478,4.410484273065354
ABBV,2023-10-30,140.6699981689453,2023-12-04,143.41000366210938,2.7400054931640625,1.9478250720336994,35,-3.029998779296875,-2.0477115322703225,Yes,2,36.865072350028136,149.56835034585396,140.052679317232,2.3789177571554854
ABBV,2023-04-28,147.97000122070312,2023-07-21,142.1999969482422,-5.7700042724609375,-3.899441930702391,84,-5.7700042724609375,-3.899441930702391,No,1,27.09989261065742,162.42800615236553,147.61098615720476,3.704254998790187
ABNB,2023-10-23,116.4800033569336,2023-11-16,127.12000274658203,10.639999389648438,9.134614597360484,24,55.31999969482422,50.897045222394496,Yes,4,37.97469270566896,139.15524551275377,116.08175476190445,5.76837268771233
ABNB,2023-08-14,133.55999755859375,2023-09-06,140.77999877929688,7.220001220703125,5.405811135580215,23,44.68000030517578,41.10773695976532,Yes,3,21.21555200059194,156.13216732839476,132.32833224435916,5.950958771008904
ABNB,2023-05-15,105.05999755859375,2023-06-13,124.61000061035156,19.550003051757812,18.608417576684637,29,37.459999084472656,34.46499056310813,Yes,2,26.583075202916376,128.01911142979813,105.67788869227216,5.5853056843814946
ABNB,2023-04-10,108.69000244140625,2023-05-09,126.5999984741211,17.909996032714844,16.478052838732754,29,17.909996032714844,16.478052838732754,Yes,1,35.957382087690306,125.4810033839776,110.72599734844428,3.6887515088833265
ABT,2023-09-06,101.01000213623047,2023-11-16,97.72000122070312,-3.2900009155273438,-3.2571040945927074,71,-0.7400054931640625,-0.7004311239719184,No,2,33.28972641557138,105.58595072582084,100.36651051685494,1.3048600522414757
ABT,2023-05-24,105.6500015258789,2023-06-23,108.19999694824219,2.5499954223632812,2.413625542389284,30,2.5499954223632812,2.413625542389284,Yes,1,11.955345054942683,111.752603492643,104.1886433030113,1.8909900474079282
ACGL,2023-12-07,80.0199966430664,2024-01-22,81.01000213623047,0.9900054931640625,1.237197618965215,46,0.9900054931640625,1.237197618965215,Yes,1,18.28247040105252,88.51655172985068,79.29344582874307,2.3057764752769003
ACN,2023-08-21,304.2200012207031,2023-12-22,350.0,45.779998779296875,15.04831983288461,123,63.29998779296875,23.28489474775485,Yes,2,41.09051744183357,320.43240129882537,300.37149579590124,5.015226375731046
ACN,2023-04-26,271.8500061035156,2023-05-22,289.3699951171875,17.519989013671875,6.444726363920175,26,17.519989013671875,6.444726363920175,Yes,1,27.157895381421,285.2692847220159,268.4100792916559,4.214801357590004
ADBE,2023-04-27,365.94000244140625,2023-05-26,396.7200012207031,30.779998779296875,8.411214563574617,29,30.779998779296875,8.411214563574617,Yes,1,44.97538129956445,388.5474274379129,365.9995696323996,5.6369644513783195
ADI,2023-08-10,187.0500030517578,2023-11-15,179.02000427246094,-8.029998779296875,-4.292969071524114,97,33.87001037597656,18.688964947555753,No,3,27.06872779297126,199.72389741696463,181.97368253909008,4.437553719468634
ADI,2023-05-25,166.50999450683594,2023-07-14,197.3800048828125,30.870010375976562,18.539433904497077,50,41.90000915527344,23.119798125618154,Yes,2,23.84115619328783,190.78314369495396,170.30995475475308,5.118297235050219
ADI,2023-04-26,181.22999572753906,2023-05-19,192.25999450683594,11.029998779296875,6.086188290750369,23,11.029998779296875,6.086188290750369,Yes,1,19.86413311998149,194.94724543145705,178.1666782135625,4.195141804473633
ADM,2023-08-23,80.55000305175781,2023-12-15,76.44000244140625,-4.1100006103515625,-5.102421421027955,114,-3.470001220703125,-4.576630486243594,No,2,28.098385474600235,86.06317874116161,79.44345425444385,1.6549311216794411
ADM,2023-04-26,75.81999969482422,2023-07-05,76.45999908447266,0.6399993896484375,0.8441036563234469,70,0.6399993896484375,0.8441036563234469,Yes,1,29.689228411158183,81.33122335034639,74.77827448290557,1.6382372168602046
ADP,2023-09-18,246.16000366210938,2023-12-12,235.0,-11.160003662109375,-4.533638079331569,85,-0.4199981689453125,-0.1992779369386869,No,2,40.33335047270212,253.5576180276512,243.59287940887225,2.491184654694733
