,Ticker,Buy Date,Buy Price,Buy RSI,Buy Upper BB,Buy Lower BB,Buy vol,Buy Z Score,Sell Date,Sell Price,Sell RSI,Sell Upper BB,Sell Lower BB,Sell vol,Sell Z Score,Profit,Profit %,Duration,Trade Number,Ticker Cum Profit,Ticker Cum Profit %,Profitable
0,AOS,2022-04-11,62.58000183105469,35.532833969860675,66.83627268871676,60.41415951648344,1.6055282930583328,-1.6012836826015302,2022-08-01,61.97999954223633,69.72337924654568,61.00033994609106,51.79950403279078,2.3002089783250717,1.6615143290545908,-0.6000022888183594,-0.9587764002279309,112,1,-0.6000022888183594,-0.9587764002279309,No
1,AOS,2022-08-29,57.90999984741211,17.088765841413036,63.540006161450584,56.38227853703574,1.789431906103711,-2.153037162813248,2022-10-31,54.060001373291016,79.78004947556646,53.07107207484201,46.07987854771659,1.7477983817813563,2.2904237965061456,-3.8499984741210938,-6.648244662865671,63,2,-4.450000762939453,-7.110899061577185,No
2,AOS,2022-12-16,56.22999954223633,19.425809304866206,61.55682894854487,55.284393814516655,1.568108783507053,-2.2956212829501768,2023-01-05,60.02000045776367,60.08526404791064,59.145532697824635,53.984892183156816,1.2901601286669544,1.172403546375723,3.7900009155273438,6.7401759672442125,20,3,-0.6599998474121094,-1.0546497732516704,Yes
3,AOS,2023-06-01,64.16999816894531,27.866980882222734,70.26942303548107,63.51070849528064,1.6896786350501065,-1.8508895922453137,2023-07-19,76.55999755859375,85.40532113642604,75.65880485733695,67.31645530501658,2.0855873880800915,2.00537429908787,12.389999389648438,19.308087491335638,48,4,11.729999542236328,18.744006390257784,Yes
4,AOS,2023-08-21,68.87000274658203,11.29781707440064,74.79382254605179,68.0708358096611,1.680746684097673,-1.883619859313447,2023-10-11,69.26000213623047,85.76514959862527,69.26761055312716,62.854623409885534,1.6032467858104054,2.7544692782880427,0.3899993896484375,0.5662833949397409,51,5,12.119998931884766,19.367207697763824,Yes
5,AOS,2024-02-01,78.30000305175781,46.47488216740266,82.17969851623666,78.05405697692741,1.0314103848273124,-0.5302235267384654,2024-03-05,84.86000061035156,62.38092869859435,84.75306601308415,77.83993401743342,1.7282829989126798,1.3849019099610975,6.55999755859375,8.378029761068419,33,6,18.679996490478516,29.849785784456078,Yes
0,ABT,2022-05-02,113.5,27.089317791041225,120.40556821761054,109.41430635514338,2.7478154656167915,-2.120406934854447,2022-08-16,111.45999908447266,71.96411020701558,108.83063264807855,104.2968728450855,1.1334399507482644,1.9654173065335674,-2.0400009155273438,-1.7973576348258535,106,1,-2.0400009155273438,-1.7973576348258535,No
1,ABT,2022-08-24,105.9000015258789,18.512209607210607,109.62080592569147,102.90170689169135,1.6797747585000313,-2.303474994639861,2022-12-14,111.37000274658203,75.44187381029916,108.61402690267268,98.86792805338202,2.436524712322667,1.9751542771932822,5.470001220703125,5.165251314341496,112,2,3.4300003051757812,3.022026700595402,Yes
2,ABT,2023-02-10,108.26000213623047,29.297375413397617,112.28355618777215,105.98087938962044,1.5756691995379302,-1.983604123521205,2023-04-04,101.9000015258789,77.88332490383381,99.80715605382572,93.45318635340085,1.5884924251062198,2.5956980971193477,-6.3600006103515625,-5.874746429755625,53,3,-2.9300003051757812,-2.5814980662341687,No
3,ABT,2023-05-24,105.6500015258789,11.957148090724061,111.75260403227273,104.18864276338158,1.8909903172227849,-2.904456177098112,2023-06-23,108.19999694824219,76.86098140830529,106.64441292413147,97.56658866278258,2.269456065337226,1.9046988289752527,2.5499954223632812,2.413625542389284,30,4,-0.3800048828125,-0.3348060641519824,Yes
4,ABT,2023-09-06,101.01000213623047,33.28983340822221,105.58595008577656,100.36651344571759,1.3048591600147457,-1.8859656630643913,2023-11-16,97.72000122070312,84.12615870165813,98.36921498875266,91.24676248927467,1.780613124869496,2.791171091974972,-3.2900009155273438,-3.2571040945927074,71,5,-3.6700057983398438,-3.2334852848809192,No
0,ABBV,2022-05-02,146.64999389648438,24.856570074391612,162.24855704445253,136.3654932485162,6.470765948984082,-1.736028175860632,2022-10-25,148.02999877929688,73.2712240424586,143.43502168791545,126.68434324128376,4.187669611657926,1.8100933185659873,1.3800048828125,0.9410193932818041,176,1,1.3800048828125,0.9410193932818041,Yes
1,ABBV,2023-01-12,155.0,19.795540359810303,159.289130510778,148.8712958197884,2.604458672747395,-2.9863459017523595,2023-02-14,153.9199981689453,70.6261869335123,147.18333690441446,137.02988178455038,2.5383637799660126,1.7930490148696374,-1.0800018310546875,-0.6967753748739919,33,2,0.3000030517578125,0.20457079048334312,No
2,ABBV,2023-03-10,147.83999633789062,40.04040886795126,150.74299904330604,142.06171592251428,2.1703207801979345,-1.157611646058477,2023-07-21,142.1999969482422,85.29267287311163,138.7372626334123,126.03193902674391,3.1763309016671006,2.7025025490552967,-5.6399993896484375,-3.8149347465878796,133,3,-5.339996337890625,-3.6413205319735376,No
3,ABBV,2023-10-30,140.6699981689453,36.8650723500289,149.56835034585453,140.05267931723142,2.3789177571557723,-1.7921384216527252,2023-12-04,143.41000366210938,83.00767527429531,142.39175095694225,134.235263203214,2.039121938432064,2.193228093521085,2.7400054931640625,1.9478250720336994,35,4,-2.5999908447265625,-1.7729225727495184,Yes
0,ACN,2022-04-27,302.9800109863281,26.688525158301005,342.4846522203499,292.63237658824386,12.463068908026521,-1.8173233604561454,2022-07-28,296.9800109863281,81.53469222659936,291.85241737703814,255.24276694913374,9.152412606976096,2.5104661345688033,-6.0,-1.980328662761435,92,1,-6.0,-1.980328662761435,No
