Ticker,Buy Date,Buy Price,Buy RSI,Buy Upper BB,Buy Lower BB,Buy vol,Buy Z Score,Sell Date,Sell Price,Sell RSI,Sell Upper BB,Sell Lower BB,Sell vol,Sell Z Score,Profit,Profit %,Duration,Trade Number,Ticker Cum Profit,Ticker Cum Profit %,Profitable
A,2023-08-17,122.0,22.732371205881023,130.22737353374043,120.70642926166973,2.3802360680176746,-2.1273985605676917,2023-11-22,123.87000274658203,86.82145699168161,122.08655040698898,96.89707386058916,6.2973691365999525,2.269015394318014,1.8700027465820312,1.5327891365426485,97,4,-6.8099822998046875,-5.436677457819517,Yes
A,2023-02-17,147.25999450683594,25.928679123161828,157.79747356557374,147.3632609925317,2.608553143260511,-2.066220522569616,2023-07-20,123.51000213623047,77.86005326602262,122.56082055380554,114.80440237710266,1.939104544175723,2.788351064836181,-23.74999237060547,-16.1279324029195,153,3,-8.679985046386719,-6.92957440392387,No
A,2022-06-14,115.98999786376953,24.87173651895037,130.77927791060335,114.71816319047089,4.0152786800331155,-2.029432571075709,2022-07-22,127.41000366210938,63.56807576420168,124.80970269321277,113.00263708950207,2.9517664009276774,1.637271763442635,11.420005798339844,9.84568153174092,38,2,15.07000732421875,12.030981212844694,Yes
A,2022-04-13,125.26000213623047,37.11224667375439,139.55905133724394,126.09505403995331,3.3659993243226602,-1.8111530070495165,2022-05-31,128.91000366210938,59.91885017460321,129.12412651380234,111.47656242052383,4.4118910233196225,1.294060365720782,3.6500015258789062,2.9139401753396363,48,1,3.6500015258789062,2.9139401753396363,Yes
AAL,2024-01-04,13.010000228881836,26.240520549015415,14.7985377169673,13.057462134259506,0.43526889567694876,-1.9252461670210066,2024-01-26,15.550000190734863,70.42915513642208,15.251880222778258,12.503119700927797,0.6871901304626147,1.8226399027947482,2.5399999618530273,19.523442868312166,22,7,3.590001106262207,25.06984066179671,Yes
AAL,2023-07-26,16.719999313354492,26.012081661539597,19.256601377502875,16.631398538573784,0.6563007097322724,-1.8040506609226243,2023-11-15,12.350000381469727,75.31058442434247,12.38525973333792,10.65574015603586,0.4323798943255149,2.0803468047704174,-4.369998931884766,-26.136358321464687,112,6,1.0500011444091797,7.332410382583243,No
AAL,2023-02-22,15.640000343322754,22.010755711257033,17.36680051156755,15.63919953039412,0.4319002452933579,-2.183373618423453,2023-05-10,14.670000076293945,67.6600871086053,14.55640932053248,12.43359073668798,0.5307046459611244,1.592222963202699,-0.9700002670288086,-6.20204760700619,77,5,5.420000076293945,37.849163350561625,No
AAL,2022-12-16,12.970000267028809,28.056060674507577,14.79823740286977,12.903762738274029,0.4736186661489355,-2.1979700661287795,2023-01-10,14.5600004196167,88.18712162110114,14.856388851668498,11.606611064408163,0.8124444468150838,2.410625895742917,1.5900001525878906,12.259060291847865,25,4,6.390000343322754,44.62290837640408,Yes
AAL,2022-09-26,12.180000305175781,20.14950521822375,14.88120349618346,12.058796561037,0.705601733786615,-2.281740952212389,2022-10-19,13.979999542236328,79.52470359279852,13.809002933083528,11.470996990622526,0.5845014856152508,2.309660184771159,1.7999992370605469,14.77831848900409,23,3,4.800000190734863,33.5195551189136,Yes
AAL,2022-05-10,16.809999465942383,27.291926957983904,20.965065008561396,16.593935006697393,1.0927825004660006,-2.0219030885496134,2022-07-20,15.140000343322754,72.48178678791936,15.340409465205443,12.445590786564576,0.7237046696602165,1.8198029769246922,-1.669999122619629,-9.93455785648954,71,2,3.0000009536743164,20.949727776590866,No
AAL,2022-03-07,14.319999694824219,11.17301518065122,20.172231073001,14.161769037625218,1.5026155088439461,-2.8796454430676315,2022-04-14,18.989999771118164,75.8448885775599,19.1521188925439,15.685880642063037,0.8665595626202157,1.8244565069665404,4.670000076293945,32.61173307134816,38,1,4.670000076293945,32.61173307134816,Yes
AAPL,2023-10-27,166.91000366210938,24.653195101907826,182.16760324475575,167.0910225487013,3.769145174013619,-1.8159917341215588,2023-11-13,185.82000732421875,73.23518842905779,186.71744882005015,164.49799460036002,5.554863554922528,1.6124207377199964,18.910003662109375,11.329460935361645,17,6,42.45001220703125,28.029061117471322,Yes
AAPL,2023-08-07,182.1300048828125,12.82118177715087,199.74401373616638,182.10206170328672,4.410488008219915,-2.8968570645503697,2023-09-01,189.49000549316406,78.56423578661422,187.89872517614918,170.37909007043282,4.379908776429096,2.244498086764123,7.3600006103515625,4.041069792474442,25,5,23.540008544921875,15.543089481188064,Yes
AAPL,2022-12-16,136.69000244140625,22.479057428414308,152.87178253751745,134.91733947175987,4.488610766439399,-2.2952988420190095,2023-01-24,140.30999755859375,85.98102486074335,141.11997763349387,121.47627404497293,4.9109258971302365,2.0890129525722467,3.6199951171875,2.648324714705637,39,4,16.180007934570312,10.68339931370207,Yes
AAPL,2022-08-31,160.30999755859375,19.333339511344278,175.84691003025335,156.36304175197319,4.8709670695700416,-2.097471786915567,2022-10-26,150.9600067138672,61.622079145608744,150.35798765913412,134.4171954463346,3.9851980531998845,1.4296211963226837,-9.349990844726562,-5.832444006687178,56,3,12.560012817382812,8.293174691627875,No
AAPL,2022-04-27,155.91000366210938,20.9189959187144,178.66544232122195,154.28073687799682,6.096176360806276,-1.9146558066816988,2022-07-22,155.38999938964844,70.38151621272378,154.86787055708143,133.16002250932482,5.426962011939152,1.577106843009391,-0.5200042724609375,-0.3335284845402858,86,2,21.910003662109375,14.466823442457438,No
