Ticker,Buy Date,Buy Price,Buy P/E Ratio,Buy Fwd P/E Ratio,Buy P/B Ratio,Buy RSI,Buy Upper BB,Buy Bollinger %b,Buy Lower BB,Buy vol,Buy Z Score,Buy MACD,Buy VWAP,Buy OBV,Buy Stoch,Buy Awesome Oscillator,Buy Ultimate Oscillator,Buy TSI,Buy Acum/Dist,Sell Date,Sell Price,Sell P/E Ratio,Sell Fwd P/E Ratio,Sell P/B Ratio,Sell RSI,Sell Upper BB,Sell Bollinger %b,Sell Lower BB,Sell vol,Sell Z Score,Sell MACD,Sell VWAP,Sell OBV,Sell Stoch,Sell Awesome Oscillator,Sell Ultimate Oscillator,Sell TSI,Sell Acum/Dist,Profit,Profit %,Duration,Ticker Cum Profit,Ticker Cum Profit %,Profitable,Returns,Returns %,Cumulative Returns %
NVR,2022-04-01,4519.58,16.447369,15.332489,5.5813212,33.83418852128925,5013.1135579079455,0.08157743624888895,4482.5024420920545,132.65277895397293,-1.6313114712439205,-19.23767667230615,4751.615029074739,-165400,12.23778843272403,-182.6847647058812,40.03188937341086,-15.515401741899225,-141081.05141582497,2022-05-05,4595.68,16.447369,15.332489,5.5813212,48.86776591186524,4584.080376613189,0.6265823205707737,4217.45262338681,91.65693830659502,0.4935087385168044,35.74821324576952,4434.704613895681,-126200,47.302062186131,-57.86470588235261,51.672163416668106,-5.535181681579779,-207678.17940340826,76.10000000000036,1.68,34,76.10000000000036,1.68,Yes,76.10000000000036,1.6837847764615377,91.82
DVN,2022-04-26,56.95,7.991438,8.333928,2.4598112,28.776722030779652,65.35112003472953,0.04284101635482189,55.88487996527045,2.366560017364771,-1.7823338385885745,-0.8127849473190655,60.77955597658652,41785300,26.60178426601784,0.027823529411762138,37.93301123685405,3.2499874222450167,57681723.69183636,2022-05-05,68.74,7.991438,8.333928,2.4598112,73.12621156162996,67.99610244196113,0.9472860782837118,54.783897558038895,3.3030512209805574,1.743842167330987,0.6626750187097721,61.32793908779524,85496900,89.0793650793651,1.484382352941175,66.79824419725762,10.97212049944012,104987186.52053635,11.789999999999992,20.7,9,11.789999999999992,20.7,Yes,11.789999999999992,20.702370500438967,93.5
TEL,2022-04-07,124.8,13.405892,16.789286,3.3219485,29.242937609851168,136.772500376726,0.07459939893388404,124.338499623274,3.108500188362993,-1.658516869099819,-0.32511641449680106,130.7725702643492,-8926600,12.820512820512816,-4.640617647058804,37.06740315746022,-15.155831017108232,-9167406.865750004,2022-05-05,129.5,13.405892,16.789286,3.3219485,54.553305693031014,129.81348599694914,0.7895223426242693,119.88051400305088,2.483242998474563,1.1287658927144295,0.943727466304559,125.34310693368742,-4360300,63.613013698630155,-0.6962058823529418,57.421820880754254,-4.282271714421448,-11106809.947394842,4.700000000000003,3.77,28,4.700000000000003,3.77,Yes,4.700000000000003,3.7660256410256436,114.2
MPWR,2022-04-12,406.93,81.91003,44.558243,16.849491,25.620659413840116,525.063766966262,0.045720332817183205,393.512233033738,32.887883483131,-1.7711081964236712,-10.663693912846274,456.1927158674487,2195900,6.721378744357814,-26.68450000000007,36.765407045032454,-5.78306247521653,676637.4267939697,2022-05-05,471.35,81.91003,44.558243,16.849491,58.88696229303964,466.8664945352605,0.8497718669516634,373.29050546473945,23.39399726763026,1.3636617819110985,6.552776027763661,426.1397653065006,3787600,67.29960081993742,-8.827264705882385,59.362137974154486,0.3642015426606374,1839932.9631364006,64.42000000000002,15.83,23,64.42000000000002,15.83,Yes,64.42000000000002,15.830732558425286,117.97
XYL,2022-04-19,82.97,45.225807,27.490194,2.9975057,49.46322770809111,89.31363264103774,0.32552227955040935,83.38336735896226,1.4825663205188684,-0.6802393835892908,-0.09752690508502915,85.86861204338865,-18855200,43.67977528089893,-1.2374705882352828,38.20541450743159,-12.548805862570747,-9389084.448547496,2022-05-05,89.26,45.225807,27.490194,2.9975057,56.03856831015328,89.50871067228202,0.6747084650367609,79.71628932771797,2.448105336141009,0.681138991604223,0.46593179834869003,84.28342051029426,-16995000,59.35727788279775,-1.60685294117647,57.39887164233243,-5.286275338142571,-8503482.002118066,6.290000000000006,7.58,16,6.290000000000006,7.58,Yes,6.290000000000006,7.581053392792583,133.8
LEN,2022-04-07,75.0,11.944687,10.181141,1.734682,18.962303549275546,93.00476126551085,-0.04206252914661356,75.17523873448916,4.457380632755425,-2.113348797447623,-0.90127326087417,82.39728876798118,-15232600,8.654848800834188,-6.61282352941177,28.234605834487123,-22.97680836463194,-14054946.563182227,2022-05-05,81.0,11.944687,10.181141,1.734682,49.652483065721384,81.88165606472978,0.6278987725194166,73.67134393527022,2.052578032364888,0.4986412130801029,0.6943337911774448,78.4982333779276,-4102200,42.4314660309893,-1.8485294117646873,54.434935512090355,-6.895568114293156,-16915137.839397043,6.0,8.0,28,6.0,8.0,Yes,6.0,8.0,141.38
ITW,2022-04-12,201.36,26.876797,23.906849,26.014112,17.38012083324054,218.72801588518217,-0.02069255810849297,199.9509841148178,4.69425794259109,-2.0300333123023884,-0.8651789656377473,208.606904617215,-3796300,4.74198047419809,-6.6475294117647366,42.512362794637,-22.34024717230139,-6403902.469194552,2022-05-05,211.09,26.876797,23.906849,26.014112,58.703129593841865,211.2660858225969,0.832568520479485,193.6599141774031,4.401542911298449,1.2965907898683728,1.2838959348329553,203.57558369594716,-1802600,69.4997310381925,-1.4646764705882447,47.24304562253654,-4.358398453011871,-9850533.577797016,9.72999999999999,4.83,23,9.72999999999999,4.83,Yes,9.72999999999999,4.832141438220098,149.38
ALB,2022-04-27,187.36,9.337575,13.173178,1.5554475,30.24857564016942,228.31105772706863,0.04383367484266966,187.46794227293137,10.21077886353432,-1.7784637433343011,-3.01467374197017,204.58925795072452,-1306500,6.706281833616236,-6.001558823529422,15.85826193965369,-6.2610456522326015,-44016874.273577675,2022-05-06,235.5,9.337575,13.173178,1.5554475,84.55886513341169,232.87586793901528,1.1289915910186055,176.50013206098475,14.09393396950763,2.4522606729090133,3.940793480964451,211.26909693014764,6708300,93.22764087540925,2.1623235294117364,50.932480099105774,9.635002021252143,-42664218.173773184,48.139999999999986,25.69,9,48.139999999999986,25.69,Yes,48.139999999999986,25.693851409052083,154.21
PXD,2022-04-25,228.38,12.104899,11.829787,2.4666014,23.08671851732757,263.4596377665166,-0.15639037301179118,235.10336223348335,7.089068883258309,-2.5590807902633474,-2.77738202664812,246.71121999311484,24432900,29.258312020460334,-1.496794117647056,41.20382045015941,2.373265781418563,-16698946.612340001,2022-05-09,264.16,12.104899,11.829787,2.4666014,46.699599369124826,267.9745967695786,0.47281323714204926,223.17940323042137,11.198798384789319,-0.10599351459101589,1.654271176415029,244.34179025610555,34497300,46.787947697555396,4.8910588235293915,53.90131527149104,5.721960716962952,-10654049.517412554,35.78000000000003,15.67,14,35.78000000000003,15.67,Yes,35.78000000000003,15.666871004466254,179.91
EOG,2022-04-25,112.15,9.293846,10.12741,2.4983974,20.82457595227133,127.15073025392665,-0.21309719982261363,114.28026974607333,3.217615126963332,-2.7801647018120628,-1.1969277577950213,121.03159756771699,-45774700,29.468177855274593,-0.8592941176470816,38.6031168564786,0.747077226244033,6859573.214505889,2022-05-09,128.95,9.293846,10.12741,2.4983974,44.05755312254447,130.23482931447484,0.3909446439044829,109.95617068552514,5.069664657237422,-0.4251760512251655,0.6602241752694005,119.56388068776712,-48077100,47.29334308705193,3.014147058823525,53.053067894621044,5.365586621558115,14752344.516431917,16.799999999999983,14.98,14,16.799999999999983,14.98,Yes,16.799999999999983,14.979937583593387,195.57
VTRS,2022-04-25,10.23,239.40001,4.290323,0.70225877,34.982930606366025,11.222507746234,0.009323633947403149,10.371492253766002,0.2127538731169992,-1.9130086519091456,0.012376029693068114,10.740235029258443,-85725200,33.63636363636374,-0.014294117647059679,41.70602530731157,-14.845956976644276,-19873041.90339882,2022-05-16,11.05,239.40001,4.290323,0.70225877,74.25507281504665,11.14463784005094,1.0092754370193573,9.863362159949059,0.32031892002546997,1.9855211797961538,0.12324941834664097,10.426903401443,-83118100,93.24324324324327,0.07626470588235357,60.28791641762157,-0.9687307448939038,12347109.774915403,0.8200000000000003,8.02,21,0.8200000000000003,8.02,Yes,0.8200000000000003,8.015640273704792,210.55
ROL,2022-04-25,33.52,51.382023,41.198196,19.157938,19.76902584857085,36.06946770783703,-0.1127357660115782,33.636532292162975,0.6082338539185124,-2.3888837996095287,-0.2862014071028105,34.80940033014196,2421500,20.189274447949533,-0.05314705882352655,33.41081540631506,5.813246148013293,6808081.21436768,2022-05-18,35.0,51.382023,41.198196,19.157938,54.581339608357084,35.163382154177214,0.7389240397875335,32.305617845822795,0.7144410770886044,0.9314973919360178,0.15785388905880368,33.6598681385828,1980700,63.45514950166106,-0.0657647058823585,50.63949866944741,2.305297713997157,4080957.043266871,1.4799999999999969,4.42,23,1.4799999999999969,4.42,Yes,1.4799999999999969,4.41527446300715,218.57
