Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Foxx	Virginia		P	NC05	2024	3/7/2024	20024596
Hon.	Foxx	Virginia		P	NC05	2024	4/10/2024	20024825
Hon.	Foxx	Virginia		P	NC05	2024	5/6/2024	20024996
Hon.	Foxx	Virginia		P	NC05	2024	6/6/2024	20025200
Hon.	Foxx	Virginia		P	NC05	2024	8/6/2024	20025588
Hon.	Foxx	Virginia		P	NC05	2024	9/4/2024	20025771
Hon.	Foxx	Virginia		P	NC05	2024	10/21/2024	20026032
Hon.	Foxx	Virginia		P	NC05	2024	11/12/2024	20026124
	Frangie	Charles		C	MI11	2024	5/26/2024	10061980
Hon.	Frankel	Lois		P	FL22	2024	5/14/2024	20025035
Hon.	Franklin	C. Scott		P	FL18	2024	4/23/2024	20024916
Hon.	Franklin	C. Scott		P	FL18	2024	6/2/2024	20025170
Hon.	Franklin	C. Scott		P	FL18	2024	8/20/2024	20025711
Hon.	Franklin	C. Scott		P	FL18	2024	10/15/2024	20026020
	Franks	Trent		C	AZ08	2024	6/15/2024	8220513
	Franz	Hilary		C	WA06	2024	5/15/2024	10060601
	Franzese	Daniel John		A	FL22	2024	6/9/2024	10062168
	Franzese	Daniel John		C	FL22	2024	6/8/2024	10060159
	Franzese	Daniel John		X	FL22	2024	5/14/2024	30021299
	Frascone	Anthony		D	NY17	2024	5/14/2024	8220323
	Fratto	John Robert		C	FL26	2024	6/17/2024	8220514
	Fratto	Mario		C	NY24	2024	5/15/2024	10061568
	Freeman	Sarah		C	TN08	2024	9/22/2024	10062948
	Freeman	Sean		C	OH11	2024	5/12/2024	10060664
	Friedman	Laura		C	CA30	2024	8/6/2024	10059948
	Friedman	Laura		X	CA30	2024	5/14/2024	30021196
	Frisch	Adam		C	CO03	2024	7/31/2024	10057720
	Frisch	Adam		X	CO03	2024	4/23/2024	30019828
	Fulton	Seth		W	TN02	2024	5/23/2024	7980
	Furman	Jay Commander		X	TX28	2024	5/15/2024	8220358
	Galan-Woods	Marlene		C	AZ01	2024	6/29/2024	10059057
	Galan-Woods	Marlene		X	AZ01	2024	4/30/2024	30020903
Hon.	Gallagher	Michael John		T	WI08	2024	8/22/2024	10059196
Hon.	Gallagher	Michael John		X	WI08	2024	4/26/2024	30020952
Hon.	Gallego	Ruben		P	AZ03	2024	8/13/2024	20025670
Hon.	Garcia	Michael		P	CA27	2024	3/12/2024	20024673
Hon.	Garcia	Michael		P	CA27	2024	8/9/2024	20025632
Mr.	Garza	Mauro Everett		C	TX34	2024	5/14/2024	10061162
	Gaughran	James F.		W	NY01	2024	5/13/2024	7960
Mr.	Gaynor	Michael Gregory William		C	KS01	2024	9/27/2024	10062979
Mr.	Gaynor	Michael Gregory William	Sr.	C	KS04	2024	10/10/2024	10063019
	Gehrig	Sebastian Kenneth		D	TX12	2024	5/16/2024	40003654
	Genant	Pamela		C	NC14	2024	5/16/2024	10061876
	George	Kimberly		C	AZ01	2024	6/30/2024	10061390
	George	Kimberly		X	AZ01	2024	5/17/2024	30021924
	Ghanim	Ahmed		A	MI11	2024	7/3/2024	10062393
	Ghanim	Ahmed		C	MI11	2024	7/2/2024	10062073
	Ghanim	Ahmed		D	MI11	2024	5/31/2024	8220501
	Ghanim	Ahmed		D	MI11	2024	6/3/2024	40003663
	Ghanim	Ahmed		X	MI11	2024	6/12/2024	30022274
	Giles	David Victor		C	AZ04	2024	5/11/2024	10060594
	Gill	Brandon		C	TX26	2024	8/13/2024	10060716
	Gill	Brandon		X	TX26	2024	5/14/2024	30021563
Mr.	Gillan	Dennis Martin		W	SC04	2024	4/10/2024	7925
	Gillen	Laura		C	NY04	2024	6/13/2024	10059315
	Gillen	Laura		X	NY04	2024	4/30/2024	30020989
	Godfrey	Darryl		C	NJ10	2024	6/17/2024	10062271
	Goldman	Craig		C	TX12	2024	5/15/2024	10061257
	Goldman	Craig		X	TX12	2024	5/17/2024	30021808
	Gomes	Joseph		D	MD04	2024	5/7/2024	8220319
Mr.	Gonzalez	Diego Antonio	Jr.	C	IN01	2024	11/13/2024	10063104
Hon.	Gonzalez Colon	Jenniffer		G	PR00	2024	6/18/2024	8220521
Hon.	Gooden	Lance		P	TX05	2024	9/6/2024	20025806
	Goodlander	Maggie		A	NH02	2024	9/3/2024	10062866
	Goodlander	Maggie		C	NH02	2024	8/12/2024	10061242
	Goodlander	Maggie		X	NH02	2024	5/17/2024	30021802
	Goroff	Nancy		X	NY01	2024	4/30/2024	30020919
Hon.	Gottheimer	Josh		P	NJ05	2024	1/7/2024	20024248
Hon.	Gottheimer	Josh		P	NJ05	2024	2/15/2024	20024461
Hon.	Gottheimer	Josh		P	NJ05	2024	3/7/2024	20024612
Hon.	Gottheimer	Josh		P	NJ05	2024	4/7/2024	20024801
Hon.	Gottheimer	Josh		P	NJ05	2024	5/15/2024	20025020
Hon.	Gottheimer	Josh		P	NJ05	2024	6/8/2024	20025207
Hon.	Gottheimer	Josh		P	NJ05	2024	7/9/2024	20025419
Hon.	Gottheimer	Josh		P	NJ05	2024	8/15/2024	20025678
Hon.	Gottheimer	Josh		P	NJ05	2024	9/11/2024	20025804
Hon.	Gottheimer	Josh		P	NJ05	2024	10/3/2024	20025953
Hon.	Gottheimer	Josh		P	NJ05	2024	11/6/2024	20026154
	Gowett	Christopher James		C	NY22	2024	5/6/2024	10059809
	Granado	Joseph L.		W		2024		8220502
	Grandon	Rod		W		2024		8220210
Hon.	Graves	Garret		P	LA06	2024	2/15/2024	20024517
	Gray	Adam C.		C	CA13	2024	8/13/2024	10062702
	Gray	Adam C.		X	CA13	2024	5/8/2024	8220263
Hon.	Green	Al		G	TX09	2024	3/20/2024	8220183
Hon.	Green	Mark Dr		P	TN07	2024	1/17/2024	20024062
Hon.	Green	Mark Dr		P	TN07	2024	2/1/2024	20024413
Hon.	Green	Mark Dr		P	TN07	2024	2/29/2024	20024572
Hon.	Green	Mark Dr		P	TN07	2024	3/13/2024	20024677
Hon.	Green	Mark Dr		P	TN07	2024	4/7/2024	20024800
Hon.	Green	Mark Dr		P	TN07	2024	5/7/2024	20024954
Hon.	Green	Mark Dr		P	TN07	2024	5/14/2024	20025064
Hon.	Green	Mark Dr		P	TN07	2024	6/12/2024	20025255
Hon.	Green	Mark Dr		P	TN07	2024	7/9/2024	20025429
Hon.	Green	Mark Dr		P	TN07	2024	8/11/2024	20025614
Hon.	Green	Mark Dr		P	TN07	2024	9/11/2024	20025797
Hon.	Green	Mark Dr		P	TN07	2024	10/4/2024	20025948
Hon.	Green	Mark Dr		P	TN07	2024	10/29/2024	20026092
	Greene	Clifford Mark		D	WA09	2024	5/16/2024	40003656
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	5/1/2024	20024924
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	5/9/2024	20025021
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	5/21/2024	20025108
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	6/27/2024	20025337
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	7/24/2024	20025518
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	8/2/2024	20025572
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	8/14/2024	20025675
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	8/22/2024	20025722
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	9/4/2024	20025777
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	9/9/2024	20025821
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	9/23/2024	20025889
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	10/8/2024	20025986
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	10/10/2024	20025998
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	10/22/2024	20026059
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	11/4/2024	20026149
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	11/8/2024	20026174
	Greene	Shaun Joseph		C	TN07	2024	5/28/2024	10061988
	Greene-Scott	Marquette		C	TX22	2024	2/4/2024	10056705
Hon.	Grothman	Glenn S.		P	WI06	2024	5/14/2024	20025026
	Groves	Ralph		D	FL11	2024	5/14/2024	8220416
	Guarente	Thomas A.		W	TN05	2024	4/11/2024	7926
Hon.	Guest	Michael Patrick		P	MS03	2024	3/12/2024	20024622
	Guinchard	Mary Jo-Ann		C	NJ05	2024	2/20/2024	10056696
	Gulla	Bruno Richard		C	NH02	2024	5/13/2024	10060533
	Gunderson	Matt		C	CA49	2024	8/9/2024	8220610
	Gunderson	Matt		X	CA49	2024	5/8/2024	30021022
	Gutmann	Andrew		C	FL22	2024	7/13/2024	10060058
	Gutmann	Andrew		X	FL22	2024	5/14/2024	30021252
	Hagg	Chad Francis		C	TX25	2024	5/29/2024	10062029
	Halfhill	Adam Scott		C	PA14	2024	4/2/2024	10056954
	Hall	Barbara Harden		D	FL11	2024	2/1/2024	40003594
	Hall	Barbie Harden		C	FL11	2024	6/15/2024	10062282
	Hall	Donyale London		C	DE00	2024	5/15/2024	10061820
	Hall	Stanley Ralph		X	MO01	2024	5/17/2024	30021883
	Hamadeh	Abraham		C	AZ08	2024	5/13/2024	10057706
	Hamilton	Cameron		A	VA07	2024	6/24/2024	10062339
	Hamilton	Cameron		C	VA07	2024	5/15/2024	10061782
	Hamilton	Darren		C	OK03	2024	5/11/2024	10059634
	Hamilton	Michaelangelo Collins		D	FL23	2024	5/15/2024	40003644
	Hamlen	William P.		C	NH02	2024	8/10/2024	10059641
	Hamlen	William P.		X	NH02	2024	5/8/2024	30021101
	Hammer	Trygve		C	ND00	2024	5/15/2024	10059187
	Hanks	Ron		C	CO03	2024	5/6/2024	10059816
	Harbaugh	Michael Robert		C	OH10	2024	5/14/2024	10061342
	Harbour	Joanna		C	OR03	2024	5/1/2024	10059545
	Haridopolos	Mike		C	FL08	2024	7/2/2024	10062298
	Haridopolos	Mike		X	FL08	2024	5/14/2024	8220302
	Harrigan	Pat		C	NC10	2024	5/15/2024	10059788
	Harris	Hampton Scott		C	AL02	2024	4/18/2024	10057690
	Harris	Mark E.		C	NC08	2024	5/14/2024	10060109
	Harris	Shawn		C	GA14	2024	5/15/2024	10061601
	Hartmann	Ray		C	MO02	2024	7/7/2024	10062277
	Hartmann	Ray		X	MO02	2024	5/15/2024	8220363
	Hartmann	Ray		X	MO02	2024	6/18/2024	30022327
	Harvey	Kathryn		C	SC04	2024	10/31/2024	10063066
	Hawkins	Nathaniel Alan		C	OH08	2024	5/7/2024	10060005
Dr.	Hayes	James		C	PA12	2024	4/22/2024	10058794
	Hayes	Philip Andrew		D	OK04	2024	5/15/2024	40003651
Mr.	Healy	Philip Mark		C	SC03	2024	5/10/2024	10060570
	Heath	Jeremy L.		C	IN08	2024	4/19/2024	10057589
	Hebron	Mike		D	MO01	2024	7/15/2024	40003676
Mr.	Heimlich	Phil		C	OH02	2024	4/26/2024	10056982
	Heinzer	Clifford		C	VA07	2024	5/20/2024	10061913
	Helgelien	Elizabeth Nicole		C	NV03	2024	5/15/2024	10061217
	Helmer	Daniel		C	VA10	2024	5/15/2024	10059964
	Hemenway	James Vincent		W	CO07	2024	4/23/2024	7942
	Henley	Anne		D	TX12	2024	2/20/2024	8220167
	Hensel	Bentley Foster		A	VA08	2024	5/16/2024	10061875
	Hensel	Bentley Foster		C	VA08	2024	5/15/2024	10060073
	Herman	Thomas		C	CA33	2024	5/11/2024	10060606
	Hermanson	Devin		C	WA02	2024	5/14/2024	10061221
Hon.	Hern	Kevin		P	OK01	2024	1/13/2024	20024305
Hon.	Hern	Kevin		P	OK01	2024	2/11/2024	20024481
Hon.	Hern	Kevin		P	OK01	2024	3/12/2024	20024669
Hon.	Hern	Kevin		P	OK01	2024	4/12/2024	20024869
Hon.	Hern	Kevin		P	OK01	2024	5/12/2024	20025040
Hon.	Hern	Kevin		P	OK01	2024	6/7/2024	20025232
Hon.	Hern	Kevin		P	OK01	2024	7/15/2024	20025473
Hon.	Hern	Kevin		P	OK01	2024	8/10/2024	20025634
Hon.	Hern	Kevin		P	OK01	2024	10/16/2024	20026033
Hon.	Hern	Kevin		P	OK01	2024	11/15/2024	20026222
	Hernandez	Frank		W	CO03	2024	3/4/2024	7922
	Hernandez Rivera	Pablo Jose		C	PR00	2024	8/13/2024	10061791
	Hernandez Rivera	Pablo Jose		X	PR00	2024	5/17/2024	30022151
Hon.	Herrell	Stella Yvette		C	NM02	2024	5/15/2024	10060778
	Hertel	Curtis	Jr.	C	MI07	2024	8/13/2024	10062632
	Hertel	Curtis	Jr.	X	MI07	2024	5/15/2024	8220364
Mr.	Hewett	Don		C	WA10	2024	5/15/2024	10061602
	Hewitt	Patti		C	GA01	2024	3/4/2024	10056847
	Hicks	Justin		C	MO03	2024	5/13/2024	10059270
Hon.	Higgins	Brian		T	NY26	2024	4/5/2024	10056951
Hon.	Hill	James French		P	AR02	2024	1/10/2024	20024215
	Holder	Derrick Ross		D	IN04	2024	2/8/2024	8220158
	Holmes	Thomas Bethune		C	AL01	2024	5/26/2024	10061979
	Holmes	Thomas Bethune		D	AL01	2024	2/5/2024	40003600
	Hood	Ron		C	OH02	2024	2/8/2024	10056667
	Hood	Ron		X	OH02	2024	1/29/2024	30019580
	Hood	Ron		X	OH02	2024	2/12/2024	30019589
Dr.	Hook	Kristin A.		C	TX21	2024	5/15/2024	10061526
	Hooper	James D.		C	MI12	2024	9/7/2024	10062891
	Hopkins	Ronnie		D	OK02	2024	8/1/2024	40003678
	Horne	Andrew		C	AZ01	2024	7/1/2024	10060675
	Horne	Andrew		X	AZ01	2024	5/14/2024	30021539
Hon.	Hostettler	John		C	IN08	2024	11/4/2024	10060036
	Houck	Mark Justin	Sr.	C	PA01	2024	5/15/2024	10061831
	Houlahan	Stephen William		A	CA48	2024	4/19/2024	10058837
	Houlahan	Stephen William		C	CA48	2024	4/19/2024	10057731
	Howe	John Wayne		C	AK00	2024	10/4/2024	10062926
	Howe	John Wayne		D	AK00	2024	10/15/2024	8220668
	Hubbard	Chuck		C	NC05	2024	5/3/2024	10059673
	Hudson	Paul		C	MI03	2024	5/12/2024	10060642
	Hughes	Charles M.		C	IL06	2024	3/12/2024	10056891
Mr.	Hurd	Jeffrey S		C	CO03	2024	5/13/2024	10060700
Mr.	Hurt	Erik David		C	IN08	2024	2/19/2024	10056758
	Hurtado	Melissa		W	CA22	2024	5/14/2024	7969
	Hutchison	Evan Hale		C	NY10	2024	5/12/2024	10057005
	Hwang	Tom		C	OH02	2024	3/18/2024	10056912
Ms.	Iroha	Celeste Chizoba		C	MD04	2024	4/18/2024	10057750
Mr.	Isaac	Alexander Hormis	Jr.	C	VA10	2024	5/14/2024	10060580
Hon.	Issa	Darrell E.		P	CA48	2024	9/25/2024	20025909
Hon.	Issa	Darrell E.		P	CA48	2024	9/26/2024	20025913
	Ivanovskis	Jeremy Daniel		D	TX03	2024	4/18/2024	40003623
	Jack	Brian		C	GA03	2024	10/2/2024	10062980
Hon.	Jackson	Jonathan		P	IL01	2024	1/12/2024	20024253
Hon.	Jackson	Jonathan		P	IL01	2024	2/15/2024	20024450
Hon.	Jackson	Jonathan		P	IL01	2024	3/19/2024	20024606
Hon.	Jackson	Jonathan		P	IL01	2024	4/24/2024	20024811
Hon.	Jackson	Jonathan		P	IL01	2024	5/7/2024	20025000
Hon.	Jackson	Jonathan		P	IL01	2024	8/12/2024	20025635
Hon.	Jackson	Jonathan		P	IL01	2024	9/20/2024	20025792
Hon.	Jackson	Jonathan		P	IL01	2024	10/11/2024	20025938
	Jacque	Andre		C	WI08	2024	5/14/2024	10061135
Ms.	Jahn	Lucinda Kwh		D	CA48	2024	5/15/2024	40003645
Hon.	James	John		P	MI10	2024	9/2/2024	20025719
Hon.	James	John		P	MI10	2024	9/6/2024	20025799
	Jasser	M. Zuhdi		C	AZ04	2024	6/28/2024	10060417
	Jasser	M. Zuhdi		X	AZ04	2024	5/14/2024	30021424
	Jayapal	Susheela		C	OR03	2024	5/23/2024	10061973
	Jenkins	Colby C.		C	UT02	2024	5/15/2024	10061440
	Jenkins	David		W		2024		8220159
	Johnson	Arthur Wayne		X	GA02	2024	2/23/2024	8220163
	Johnson	Bernard Eugene		C	TX19	2024	8/6/2024	10062636
Hon.	Johnson	Bill		T	OH06	2024	4/16/2024	10056805
Hon.	Johnson	Bill		X	OH06	2024	2/20/2024	30019614
	Johnson	Drew		C	NV03	2024	7/12/2024	10057752
	Johnson	Julie		C	TX32	2024	8/13/2024	10059677
	Johnson	Julie		X	TX32	2024	5/8/2024	30021107
	Johnson	Sheryl		C	SD00	2024	5/6/2024	10059824
	Johnston	Courtney		C	TN05	2024	6/4/2024	10062049
	Jones	Gian A.		C	NY04	2024	4/19/2024	10057764
	Jones	Marcus		C	AR02	2024	5/14/2024	10059433
Hon.	Jones	Mondaire		C	NY17	2024	5/15/2024	10061463
	Jones	Stewart		C	SC03	2024	2/26/2024	10056825
	Joshi	Janak		A	CO08	2024	5/26/2024	10061969
	Joshi	Janak		C	CO08	2024	5/15/2024	10061172
	Joshi	Janak		X	CO08	2024	5/17/2024	30021762
	Joss	Eric E.		C	CO08	2024	6/6/2024	10062136
Hon.	Joyce	David P.		P	OH14	2024	8/6/2024	20021523
	Jude	Tad		C	MN03	2024	2/16/2024	8220164
Mr.	Judge	James Mr	Jr.	C	FL15	2024	5/1/2024	10059382
	Junge	Paul		C	MI08	2024	8/17/2024	10060342
	Junge	Paul		X	MI08	2024	5/14/2024	30021381
	Kahrs	Jeff		C	KS02	2024	5/18/2024	10061914
	Kalata	Ryan Michael		D	NY01	2024	5/14/2024	40003643
	Kalata	Ryan Michael		X	NY01	2024	5/14/2024	30021433
	Kale	Andrea Doria		C	FL17	2024	5/1/2024	10059514
	Kane	Caroline		C	TX07	2024	5/10/2024	10060549
	Kangas	Jolian		W		2024		8220417
	Kaplan	Anna		W	NY03	2024	4/22/2024	7937
	Kasama	Heidi		W	NV03	2024	7/9/2024	7991
	Kasama	Heidi		X	NV03	2024	5/17/2024	30022157
	Kaufman	Joe		X	FL23	2024	5/15/2024	8220373
	Kaul	Krystle Veda		X	VA10	2024	5/1/2024	8220241
	Kavanaugh	Dominick		C	IN08	2024	4/8/2024	10056945
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2024	1/26/2024	20024309
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2024	2/20/2024	20024509
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2024	3/18/2024	20024685
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2024	5/30/2024	20025059
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2024	6/18/2024	20025291
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2024	7/20/2024	20025478
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2024	8/13/2024	20025671
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2024	8/19/2024	20025681
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2024	9/20/2024	20025886
Hon.	Kean	Thomas H.	Jr.	P	NJ07	2024	10/15/2024	20026021
Hon.	Keating	William R.		P	MA09	2024	1/16/2024	20023767
Hon.	Keating	William R.		P	MA09	2024	2/5/2024	20024445
Hon.	Keating	William R.		P	MA09	2024	3/12/2024	20024668
Hon.	Keating	William R.		P	MA09	2024	5/2/2024	20024852
Hon.	Keating	William R.		P	MA09	2024	5/22/2024	20025119
Hon.	Keating	William R.		P	MA09	2024	6/21/2024	20025226
Hon.	Keating	William R.		P	MA09	2024	9/24/2024	20025891
Hon.	Keating	William R.		P	MA09	2024	11/6/2024	20026091
	Keller	Maura		C	GA03	2024	4/21/2024	10056913
	Kelly	Durand Todd		A	KY06	2024	2/7/2024	10056743
	Kelly	Durand Todd		C	KY06	2024	2/6/2024	10056632
Hon.	Kelly	Mike		P	PA16	2024	1/12/2024	20024300
Hon.	Kelly	Mike		P	PA16	2024	2/13/2024	20024494
Hon.	Kelly	Mike		P	PA16	2024	3/11/2024	20024654
Hon.	Kelly	Mike		P	PA16	2024	6/14/2024	20025280
Hon.	Kelly	Mike		P	PA16	2024	7/3/2024	20025281
Hon.	Kelly	Mike		P	PA16	2024	8/13/2024	20025660
Hon.	Kelly	Mike		P	PA16	2024	8/13/2024	20025661
Hon.	Kelly	Mike		P	PA16	2024	9/3/2024	20025773
Hon.	Kelly	Mike		P	PA16	2024	10/15/2024	20026023
Hon.	Kelly	Mike		P	PA16	2024	11/13/2024	20026212
	Kemp	Patricia		C	FL15	2024	7/19/2024	10061141
	Kemp	Patricia		X	FL15	2024	5/17/2024	30021744
	Kennedy	David R.		C	VA08	2024	6/11/2024	10061919
	Kennedy	John Perkins		W	TN06	2024	5/14/2024	7970
	Kennedy	Mike		C	UT03	2024	3/29/2024	10056941
Ms.	Kennedy	Sandra Denise		C	FL08	2024	5/15/2024	10061792
Hon.	Kennedy	Timothy		H	NY26	2024	6/3/2024	10062077
	Kent	Joseph		C	WA03	2024	5/14/2024	10060803
Mr.	Kenworthy	Jon Michael		W	IN03	2024	5/14/2024	7968
	Kerr	Joseph		C	CA40	2024	8/7/2024	10060853
	Kerr	Joseph		X	CA40	2024	5/14/2024	30021627
	Khan	Gulrez		W	TX32	2024	4/23/2024	7943
Hon.	Khanna	Rohit		P	CA17	2024	2/5/2024	8220127
Hon.	Khanna	Rohit		P	CA17	2024	3/6/2024	8220173
Hon.	Khanna	Rohit		P	CA17	2024	4/5/2024	8220192
Hon.	Khanna	Rohit		P	CA17	2024	5/6/2024	8220252
Hon.	Khanna	Rohit		P	CA17	2024	6/5/2024	8220451
Hon.	Khanna	Rohit		P	CA17	2024	7/8/2024	8220534
Hon.	Khanna	Rohit		P	CA17	2024	8/7/2024	8220570
Hon.	Khanna	Rohit		P	CA17	2024	9/6/2024	8220626
Hon.	Khanna	Rohit		P	CA17	2024	10/4/2024	8220660
Hon.	Khanna	Rohit		P	CA17	2024	11/8/2024	8220674
	Kidd	Larry		C	OH02	2024	2/2/2024	10056489
Mr.	Kidd	Robert G		C	NV02	2024	9/12/2024	10059116
	Kidd	Robert Gregory		X	NV02	2024	4/30/2024	30020916
	Kilbourn	Kyle		C	WI07	2024	4/20/2024	10058861
	Kim	David		C	CA34	2024	5/15/2024	10061389
	King	Bob		C	TX21	2024	5/5/2024	10059806
	Kirkland	Kyle R.		A	CA20	2024	2/4/2024	10056710
	Kirkland	Kyle R.		C	CA20	2024	2/4/2024	10056706
	Kirkland	Kyle R.		X	CA20	2024	2/7/2024	8220129
	Klee Hood	Sarah		W	NY22	2024	8/13/2024	7994
	Klee Hood	Sarah		X	NY22	2024	4/23/2024	30019835
Mr.	Knight	David		C	CA43	2024	2/2/2024	10056699
	Knott	Brad		C	NC13	2024	9/13/2024	10060459
	Knott	Brad		X	NC13	2024	5/14/2024	30021467
	Kraft	Ryan Olivier Christian		C	OR00	2024	4/24/2024	10058986
	Kramer	Anna Cheng		C	CA15	2024	5/11/2024	8220318
	Krautter	Joel		C	MT02	2024	5/15/2024	10061006
	Krebaum	William B.		D	MI06	2024	6/7/2024	40003665
	Kregler	William		C	NY07	2024	5/14/2024	10060388
	Kregler	William		X	NY07	2024	5/14/2024	30021481
	Kreiselmaier	Elizabeth		D	WA06	2024	4/9/2024	8220208
	Kreiselmaier	Elizabeth		W		2024		8220211
	Kripchak	Michael L.		D	OH06	2024	2/21/2024	40003605
	Kruttiventi	Vin		C	CA14	2024	5/5/2024	10058942
	Kucinich	Dennis		A	OH07	2024	6/4/2024	10062091
	Kucinich	Dennis		C	OH07	2024	5/15/2024	10061834
	Kulikoff	Kelly		C	CA20	2024	1/22/2024	10056642
Hon.	LaHood	Darin McKay		P	IL16	2024	9/27/2024	20025916
Hon.	Lamborn	Doug		P	CO05	2024	3/13/2024	8220177
Hon.	Lamborn	Doug		P	CO05	2024	4/12/2024	8220205
Hon.	Lamborn	Doug		P	CO05	2024	5/15/2024	8220312
Hon.	Lamborn	Doug		P	CO05	2024	6/3/2024	8220431
Hon.	Lamborn	Doug		P	CO05	2024	8/12/2024	8220589
Hon.	Lamborn	Doug		P	CO05	2024	10/23/2024	8220665
Mr.	Lancaster	Jarrad Ray		D	IN03	2024	4/5/2024	8220209
Mr.	Lancaster	Jarrad Ray		D	IN03	2024	4/8/2024	40003619
Hon.	Landsman	Greg		P	OH01	2024	8/14/2024	20025622
Hon.	Landsman	Greg		P	OH01	2024	9/23/2024	20025834
Hon.	Landsman	Greg		P	OH01	2024	10/14/2024	20025946
Hon.	Landsman	Greg		P	OH01	2024	11/14/2024	20026101
	Lankenau	Steve		W	OH09	2024	5/13/2024	7961
	Lapides	Bennett		D	TN01	2024	5/16/2024	40003655
Mr.	LARSEN	FLEMMING  STEEN		C	NV01	2024	5/15/2024	10059440
Hon.	Larsen	Rick		P	WA02	2024	1/19/2024	20024339
Hon.	Larsen	Rick		P	WA02	2024	4/10/2024	20024842
Hon.	Larsen	Rick		P	WA02	2024	7/17/2024	20025486
	Laster	Justin		C	GA08	2024	5/21/2024	10061941
	Latimer	George		C	NY16	2024	6/6/2024	8220476
Hon.	Latta	Robert E.		P	OH05	2024	2/14/2024	20024505
Hon.	Latta	Robert E.		P	OH05	2024	4/20/2024	20024901
Hon.	Latta	Robert E.		P	OH05	2024	6/9/2024	20025238
Hon.	Latta	Robert E.		P	OH05	2024	7/21/2024	20025507
Hon.	Latta	Robert E.		P	OH05	2024	11/7/2024	20026165
	Lawrence	Case McKay		C	UT03	2024	6/20/2024	10062317
	Lee	John		C	NV04	2024	5/15/2024	10059348
Hon.	Lee	Laurel		P	FL15	2024	9/14/2024	20025714
Hon.	Lee	Laurel Mrs		P	FL15	2024	1/4/2024	20024249
Hon.	Lee	Laurel Mrs		P	FL15	2024	5/25/2024	20025116
Hon.	Lee	Laurel Mrs		P	FL15	2024	8/5/2024	20025546
Hon.	Lee	Susie		P	NV03	2024	5/24/2024	20025096
	Lee Carter	Erica		C	TX18	2024	9/7/2024	10062881
	Leigh	Joseph		C	GA14	2024	5/13/2024	10060856
	Lenard	Willie James		W	AL02	2024	4/19/2024	7936
	Lerner	Kari		C	FL19	2024	2/26/2024	10056816
	Levasseur	Joseph		C	NH01	2024	9/3/2024	10062871
	Levinson	Eric		C	NC14	2024	7/24/2024	10061447
	Levinson	Eric		X	NC14	2024	5/17/2024	30021916
	Lewallen	Leslie		C	WA03	2024	5/14/2024	10061214
	Leyva	Mark J.		C	IN01	2024	7/11/2024	10062436
	Liccardo	Sam T.		C	CA16	2024	5/15/2024	10060033
	Lincoln	Kevin		C	CA09	2024	5/15/2024	10061482
	Lineberger	Ernest Robinson	III	C	TX26	2024	4/27/2024	10059239
	Lipetri	Mike		C	NY03	2024	4/12/2024	10056999
Dr.	Litaker	Robin		C	AL07	2024	5/8/2024	10060176
	Lochner	Jill Andrea		C	NY21	2024	5/12/2024	10060670
	Loesby	Matthew		D	ID01	2024	3/28/2024	40003617
	Logan	George S.		C	CT05	2024	5/15/2024	10061451
	Lopez	Greg		A	CO04	2024	5/20/2024	10061936
	Lopez	Greg		C	CO04	2024	5/12/2024	10060649
	Lopez	Jonathan		C	UT04	2024	3/26/2024	10056933
	Lorenzen	Mark		C	TX17	2024	1/29/2024	10056674
Dr.	Lorinser	Bob James	Jr.	C	MI01	2024	7/1/2024	10062386
	Lou	Bruce C.		C	CA11	2024	5/6/2024	10059810
	Lovelace	Jared Bryant		C	TX10	2024	4/26/2024	10059219
	Lovelace	Jared Bryant		W	TX10	2024	4/26/2024	7949
	Low	Evan		C	CA16	2024	5/14/2024	10060521
	Loyd	Joshua		C	IL13	2024	9/13/2024	10062918
	Lubin	Rob		C	NY02	2024	10/18/2024	10063043
